"Story","Title","Result","Date","Stability","Duration (s)"
"Post Login Student and Mentor","Login student with valid data","SUCCESS","2023-08-20T22:24:39.3273993+07:00[Asia/Jakarta]","0.0","4.84"
"Post Login Student and Mentor","Login student with invalid data using unregistered student","SUCCESS","2023-08-20T22:24:44.1857013+07:00[Asia/Jakarta]","0.0","0.55"
"Post Login Student and Mentor","Login student without request body","SUCCESS","2023-08-20T22:24:44.7541951+07:00[Asia/Jakarta]","0.0","0.13"
"Post Login Student and Mentor","Login student with invalid path","SUCCESS","2023-08-20T22:24:44.8981322+07:00[Asia/Jakarta]","0.0","0.14"
"Post Login Student and Mentor","Login student with incomplete data","SUCCESS","2023-08-20T22:24:45.0449414+07:00[Asia/Jakarta]","0.0","0.13"
"Post Login Student and Mentor","Login mentor with incomplete data","SUCCESS","2023-08-20T22:24:47.725686+07:00[Asia/Jakarta]","0.0","0.12"
"Post Register Student and Mentor","Register new student with invalid data","SUCCESS","2023-08-20T22:24:48.5420703+07:00[Asia/Jakarta]","0.0","0.13"
"Post Register Student and Mentor","Register new student without data","SUCCESS","2023-08-20T22:24:48.6805952+07:00[Asia/Jakarta]","0.0","0.15"
"Post Register Student and Mentor","Register new student with invalid path","SUCCESS","2023-08-20T22:24:48.8423535+07:00[Asia/Jakarta]","0.0","0.13"
"Post Register Student and Mentor","Register new student with incomplete data","SUCCESS","2023-08-20T22:24:48.9807834+07:00[Asia/Jakarta]","0.0","0.12"
"Post Register Student and Mentor","Register new student with data has been used","SUCCESS","2023-08-20T22:24:49.1069692+07:00[Asia/Jakarta]","0.0","0.54"
"Get Review Mentor","Get mentor review with valid path","SUCCESS","2023-08-20T22:25:59.4030689+07:00[Asia/Jakarta]","0.0","9.46"
"Get Review Mentor","Get mentor review with empty path","SUCCESS","2023-08-20T22:26:08.8708169+07:00[Asia/Jakarta]","0.0","7.75"
"Post Create Review Mentor","Post make review class with valid request body using valid path {id}","SUCCESS","2023-08-20T22:26:16.6374629+07:00[Asia/Jakarta]","0.0","8.47"
"Post Create Review Mentor","Post make review class with invalid request body using invalid path {id}","SUCCESS","2023-08-20T22:26:25.1156018+07:00[Asia/Jakarta]","0.0","5.32"
"Post Create Review Mentor","Post make review class with empty request body using valid path {id}","SUCCESS","2023-08-20T22:26:30.4452342+07:00[Asia/Jakarta]","0.0","8.77"
